true_province,predicted_province,baseline_count,candidate_count,change_candidate_minus_baseline
60,74,0,1,1
90,60,1,1,0
61,94,0,1,1
19,98,1,0,-1
17,23,1,0,-1
72,20,1,0,-1
36,12,1,0,-1
98,94,0,1,1
12,18,0,1,1
14,20,1,1,0
28,97,1,1,0
37,19,1,0,-1
11,14,0,1,1
20,25,0,1,1
21,60,1,0,-1
60,27,1,0,-1
99,90,1,0,-1
94,79,1,0,-1
89,25,1,0,-1
84,63,0,1,1
97,23,0,1,1
63,68,0,1,1
36,34,0,1,1
90,17,0,1,1
24,37,0,1,1
82,66,1,1,0
14,60,1,1,0
18,27,1,1,0
94,70,0,1,1
27,48,1,0,-1
27,37,1,0,-1
74,36,0,1,1
61,82,1,1,0
78,76,1,0,-1
28,66,1,0,-1
26,98,1,0,-1
24,70,1,0,-1
85,43,1,0,-1
61,63,1,0,-1
82,72,1,0,-1
98,27,1,1,0
95,84,1,1,0
98,23,1,0,-1
26,17,1,0,-1
20,14,0,1,1
90,18,1,0,-1
61,11,1,1,0
34,19,1,0,-1
81,89,1,1,0
59,11,1,0,-1
15,20,0,1,1
66,81,1,0,-1
23,98,1,1,0
70,17,1,0,-1
98,11,1,1,0
14,98,0,1,1
66,24,0,1,1
22,48,1,0,-1
73,21,0,1,1
25,36,1,0,-1
99,28,0,1,1
81,20,1,0,-1
49,15,0,1,1
83,65,0,1,1
65,92,1,0,-1
70,81,1,0,-1
22,30,0,1,1
72,70,1,0,-1
70,85,1,0,-1
89,38,1,1,0
48,43,0,1,1
19,34,1,1,0
93,78,1,1,0
60,95,0,1,1
14,81,0,1,1
48,67,0,1,1
24,15,0,1,1
24,88,1,1,0
61,84,0,1,1
99,48,1,1,0
75,97,0,1,1
59,84,1,0,-1
49,22,1,0,-1
34,23,0,1,1
27,88,0,1,1
17,15,0,1,1
49,59,0,1,1
59,37,1,0,-1
14,18,1,1,0
81,60,1,1,0
72,83,1,0,-1
30,23,1,0,-1
28,30,0,1,1
17,35,1,0,-1
61,30,1,0,-1
