seed,province,support,baseline_accuracy,candidate_accuracy,improvement,fixed,regressed
44,60,31,0.41935483870967744,0.45161290322580644,0.032258064516129004,2,1
44,61,33,0.48484848484848486,0.36363636363636365,-0.12121212121212122,0,4
44,62,38,0.2631578947368421,0.3157894736842105,0.05263157894736842,3,1
44,63,33,0.48484848484848486,0.5151515151515151,0.030303030303030276,1,0
44,64,30,0.36666666666666664,0.4,0.03333333333333338,3,2
44,65,28,0.4642857142857143,0.5714285714285714,0.1071428571428571,6,3
44,66,28,0.42857142857142855,0.4642857142857143,0.035714285714285754,4,3
44,67,31,0.1935483870967742,0.22580645161290322,0.03225806451612903,2,1
44,68,32,0.375,0.25,-0.125,1,5
44,69,37,0.35135135135135137,0.2702702702702703,-0.08108108108108109,1,4
44,70,34,0.7352941176470589,0.7941176470588235,0.05882352941176461,4,2
44,71,31,0.6129032258064516,0.6451612903225806,0.032258064516129004,2,1
44,72,31,0.8064516129032258,0.9032258064516129,0.09677419354838712,3,0
44,73,34,0.7058823529411765,0.6470588235294118,-0.05882352941176472,1,3
44,74,30,0.7333333333333333,0.7333333333333333,0.0,0,0
44,75,32,0.9375,1.0,0.0625,2,0
44,76,37,0.918918918918919,0.972972972972973,0.05405405405405406,2,0
44,77,28,0.8571428571428571,1.0,0.1428571428571429,4,0
44,78,32,0.78125,0.875,0.09375,4,1
44,79,30,0.8333333333333334,0.8333333333333334,0.0,1,1
44,81,33,0.6060606060606061,0.7575757575757576,0.1515151515151515,6,1
44,82,31,0.8709677419354839,0.8709677419354839,0.0,0,0
44,83,31,0.06451612903225806,0.16129032258064516,0.0967741935483871,3,0
44,84,40,0.15,0.25,0.1,4,0
44,85,34,0.7352941176470589,0.8529411764705882,0.11764705882352933,5,1
44,86,33,0.7575757575757576,0.8484848484848485,0.09090909090909094,3,0
44,88,28,0.5357142857142857,0.5357142857142857,0.0,4,4
44,89,30,0.7333333333333333,0.5666666666666667,-0.16666666666666663,1,6
44,90,27,0.5555555555555556,0.48148148148148145,-0.07407407407407413,1,3
44,92,30,1.0,1.0,0.0,0,0
44,93,35,0.4857142857142857,0.5142857142857142,0.028571428571428525,3,2
44,94,33,0.06060606060606061,0.18181818181818182,0.12121212121212122,4,0
44,95,30,0.6333333333333333,0.7666666666666667,0.13333333333333341,4,0
44,97,34,0.4411764705882353,0.4411764705882353,0.0,4,4
44,98,28,0.9285714285714286,0.9285714285714286,0.0,0,0
44,99,29,0.41379310344827586,0.41379310344827586,0.0,3,3
